"","station_name","datetime","predicted"
"96","Powell at Post (Union Square)","2014-09-12",-6.53564279677879
"97","Powell at Post (Union Square)","2014-09-13",-2.82100339117969
"98","Powell at Post (Union Square)","2014-09-14",-1.38172009458113
"99","5th at Howard","2014-09-01",2.83311944804957
"100","5th at Howard","2014-09-02",2.80972105398212
"101","5th at Howard","2014-09-03",3.18851611452004
"102","5th at Howard","2014-09-04",2.21533360983138
"103","5th at Howard","2014-09-05",3.24826773898239
"104","5th at Howard","2014-09-06",2.2891900917186
"105","5th at Howard","2014-09-07",-0.88893808343307
"106","5th at Howard","2014-09-08",2.77616373817384
"107","5th at Howard","2014-09-09",2.7527653441064
"108","5th at Howard","2014-09-10",3.13156040464432
"109","5th at Howard","2014-09-11",2.15837789995565
"110","5th at Howard","2014-09-12",3.19131202910666
"111","5th at Howard","2014-09-13",2.23223438184288
"112","5th at Howard","2014-09-14",-0.945893793308797
"113","Market at 4th","2014-09-01",-4.03978929257271
"114","Market at 4th","2014-09-02",0.874190867041468
"115","Market at 4th","2014-09-03",-1.13885081985896
"116","Market at 4th","2014-09-04",0.896640483354856
"117","Market at 4th","2014-09-05",-1.77591801598577
"118","Market at 4th","2014-09-06",2.36944512834174
"119","Market at 4th","2014-09-07",3.89985980746556
"120","Market at 4th","2014-09-08",-4.76597976876319
"121","Market at 4th","2014-09-09",0.148000390850992
"122","Market at 4th","2014-09-10",-1.86504129604943
"123","Market at 4th","2014-09-11",0.17045000716438
"124","Market at 4th","2014-09-12",-2.50210849217624
"125","Market at 4th","2014-09-13",1.64325465215127
"126","Market at 4th","2014-09-14",3.17366933127508
"127","Post at Kearny","2014-09-01",-1.70692348078414
"128","Post at Kearny","2014-09-02",0.869377030247794
"129","Post at Kearny","2014-09-03",-1.27995503391269
"130","Post at Kearny","2014-09-04",1.33037727799485
"131","Post at Kearny","2014-09-05",-1.73056166403106
"132","Post at Kearny","2014-09-06",0.461762164666667
"133","Post at Kearny","2014-09-07",-0.548333323551707
"134","Post at Kearny","2014-09-08",-1.66686496095468
"135","Post at Kearny","2014-09-09",0.909435550077252
"136","Post at Kearny","2014-09-10",-1.23989651408323
"137","Post at Kearny","2014-09-11",1.37043579782431
"138","Post at Kearny","2014-09-12",-1.6905031442016
"139","Post at Kearny","2014-09-13",0.501820684496125
"140","Post at Kearny","2014-09-14",-0.508274803722249
"141","Commercial at Montgomery","2014-09-01",2.14248863335823
"142","Commercial at Montgomery","2014-09-02",2.74780920693992
"143","Commercial at Montgomery","2014-09-03",5.46450813066081
